股票代碼,背離日期
6592,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
6625,"[Timestamp('2025-03-10 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
6645,"[Timestamp('2025-03-04 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-10 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-12 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
6645,"[Timestamp('2025-03-04 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-10 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-12 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
6645,"[Timestamp('2025-03-04 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-10 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-12 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
6645,"[Timestamp('2025-03-04 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-10 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-12 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
6715,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
6715,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
6719,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
6719,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
6796,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
6796,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
6806,"[Timestamp('2025-03-04 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-05 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-07 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-10 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-12 00:00:00+0800', tz='Asia/Taipei')]"
6806,"[Timestamp('2025-03-04 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-05 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-07 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-10 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-12 00:00:00+0800', tz='Asia/Taipei')]"
6901,"[Timestamp('2025-03-04 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei')]"
6933,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei')]"
6933,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei')]"
8163,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
